ProductFamily,Product,Demand_2022_1,Demand_2022_2,Demand_2022_3,Demand_2022_4,Demand_2022_5,Demand_2022_6,Demand_2022_7,Demand_2022_8,Demand_2022_9,Demand_2022_10,Demand_2022_11,Demand_2022_12,Demand_2023_1,Demand_2023_2,Demand_2023_3,Demand_2023_4,Demand_2023_5,Demand_2023_6,Demand_2023_7,Demand_2023_8,Demand_2023_9,Demand_2023_10,Demand_2023_11,Demand_2023_12,
BCD,BCD00001,61,2,68,26,96,27,81,91,92,2,5,63,33,9,67,29,29,55,64,69,43,43,86,28,
BCD,BCD00002,30,48,32,44,100,95,21,72,76,73,33,69,55,46,2,76,84,37,47,72,34,80,20,31,
BCD,BCD00003,61,23,80,47,30,50,29,76,88,94,74,27,21,93,12,94,91,42,74,10,73,57,61,51,
BCD,BCD00004,67,62,49,65,85,81,79,82,5,49,81,11,32,88,7,67,96,97,58,67,29,2,17,94,
BCD,BCD00005,41,62,86,70,82,56,8,23,14,27,68,91,62,75,63,0,96,78,57,32,13,54,85,54,
BCD,BCD00006,0,3,47,32,53,79,37,56,37,95,13,61,84,63,39,94,70,29,62,61,64,1,77,94,
BCD,BCD00007,61,15,83,22,51,92,49,84,13,8,23,31,33,19,74,15,54,81,40,12,84,69,42,97,
BCD,BCD00008,90,15,62,92,15,54,53,63,81,11,54,97,83,24,18,47,48,27,30,38,57,34,7,48,
BCD,BCD00009,36,87,36,87,99,43,57,78,82,27,82,33,68,42,22,51,66,6,70,77,92,1,33,69,
BCD,BCD00010,13,64,41,35,39,76,33,85,93,22,100,97,56,30,59,18,49,44,21,34,26,65,17,27,
BCD,BCD00011,64,11,57,3,27,82,9,69,47,98,11,85,52,62,7,87,50,75,46,1,71,42,44,97,
BCD,BCD00012,87,67,15,67,33,15,93,78,77,61,75,78,85,48,58,56,23,25,95,29,16,38,27,79,
BCD,BCD00013,88,81,41,54,75,82,89,89,75,86,17,4,60,98,11,62,61,36,94,60,17,48,6,13,
BCD,BCD00014,55,60,28,60,91,75,32,38,36,90,79,69,37,95,32,8,18,63,37,91,16,34,1,22,
BCD,BCD00015,48,72,95,35,5,83,58,61,6,69,16,36,79,27,28,75,91,12,34,8,34,81,88,70,
BCD,BCD00016,31,81,36,15,86,80,100,79,39,20,88,15,63,94,83,15,66,6,95,8,92,37,73,62,
BCD,BCD00017,79,81,76,42,58,73,29,61,29,11,60,78,43,40,44,63,74,31,51,31,53,71,31,12,
BCD,BCD00018,89,30,17,30,69,46,43,69,33,70,68,99,91,45,40,35,93,100,15,20,77,90,95,0,
BCD,BCD00019,87,19,95,89,27,5,16,35,93,74,33,24,76,92,23,51,9,68,83,1,48,89,48,81,
BCD,BCD00020,0,66,30,47,57,93,68,76,39,47,81,94,53,45,70,91,81,85,66,69,57,24,51,49,
BCD,BCD00021,23,61,98,74,39,80,77,75,72,53,63,10,34,57,93,21,52,52,92,1,74,31,21,46,
BCD,BCD00022,14,22,94,78,12,58,52,77,71,79,71,5,31,65,32,39,58,32,66,22,9,72,95,65,
BCD,BCD00023,87,52,91,47,24,43,81,34,19,73,82,28,85,66,22,90,13,94,30,0,80,39,66,81,
BCD,BCD00024,2,11,36,67,15,21,6,80,1,20,73,98,4,83,93,33,78,79,58,37,81,43,97,91,
BCD,BCD00025,78,67,40,18,6,26,69,20,72,8,70,74,58,45,16,37,55,7,61,76,19,12,34,47,
BCD,BCD00026,96,23,58,79,99,10,71,63,47,84,55,33,26,14,46,7,53,50,50,67,16,61,64,85,
BCD,BCD00027,71,78,60,61,46,7,92,26,24,7,37,44,63,15,6,93,35,60,90,13,82,15,40,92,
BCD,BCD00028,51,92,75,16,71,67,78,80,74,17,76,33,44,90,73,46,30,8,66,88,64,66,28,98,
BCD,BCD00029,67,7,7,51,66,0,90,12,66,61,53,82,31,94,48,32,27,70,76,44,51,43,21,42,
BCD,BCD00030,65,56,30,83,0,47,47,32,32,90,98,74,22,91,82,51,78,63,100,29,22,43,82,33,
BCD,BCD00031,73,90,51,40,56,78,90,68,68,93,64,7,70,16,47,15,98,67,85,0,76,62,13,48,
BCD,BCD00032,10,25,83,82,0,94,43,63,61,16,25,87,33,95,42,91,87,45,31,28,60,95,64,65,
BCD,BCD00033,13,25,99,56,15,96,68,72,94,21,52,48,5,47,93,0,94,5,68,98,25,9,83,28,
BCD,BCD00034,27,56,3,0,4,53,51,55,77,0,63,3,74,11,92,70,19,88,56,52,69,15,99,2,
BCD,BCD00035,84,55,39,10,76,38,85,0,75,40,87,47,86,55,32,48,35,14,65,54,5,20,40,68,
BCD,BCD00036,2,97,98,89,41,75,79,96,82,16,85,49,60,47,100,16,14,87,36,27,96,67,61,10,
BCD,BCD00037,79,13,5,75,38,76,17,16,23,42,3,48,78,43,71,73,31,85,17,90,79,20,82,67,
BCD,BCD00038,76,95,84,53,10,1,9,51,21,14,86,69,41,47,14,10,0,83,94,58,41,18,91,6,
BCD,BCD00039,79,46,25,52,13,40,3,26,69,21,39,66,65,52,6,56,36,15,97,0,80,46,97,19,
BCD,BCD00040,96,6,40,86,32,18,63,88,49,48,45,30,65,30,29,90,46,78,56,17,27,68,20,78,
BCD,BCD00041,52,33,96,52,31,98,33,40,45,56,17,24,75,37,18,88,36,64,100,5,16,82,46,57,
BCD,BCD00042,14,53,14,21,61,61,11,73,93,5,70,2,8,67,0,96,10,64,70,63,10,87,0,81,
BCD,BCD00043,69,12,12,20,71,88,12,78,40,30,98,84,3,75,96,13,67,40,42,99,76,95,3,76,
BCD,BCD00044,71,86,96,81,41,100,28,91,9,92,86,82,95,16,37,58,30,82,35,47,39,33,57,33,
BCD,BCD00045,91,95,61,39,60,72,46,80,65,53,58,99,91,60,100,53,4,34,46,8,23,1,49,37,
BCD,BCD00046,90,29,78,40,86,23,77,35,39,37,42,24,4,21,64,61,37,97,82,49,4,22,3,57,
BCD,BCD00047,88,76,67,59,79,11,3,42,52,33,94,0,35,99,17,92,99,72,65,20,77,55,18,20,
BCD,BCD00048,61,26,45,82,28,1,22,12,77,47,35,65,96,88,23,7,77,70,62,37,21,99,18,65,
BCD,BCD00049,64,59,90,66,88,13,35,5,24,65,51,91,6,26,39,52,30,33,64,24,22,7,100,92,
BCD,BCD00050,72,24,37,51,97,88,98,52,90,93,92,9,89,75,56,55,76,4,70,95,88,99,36,100,
BCD,BCD00051,21,14,39,92,51,67,2,63,59,35,92,11,86,19,24,36,99,38,37,87,80,80,70,23,
BCD,BCD00052,48,4,59,94,5,61,7,24,32,72,88,81,89,81,54,7,100,89,86,72,82,78,64,67,
BCD,BCD00053,51,56,50,85,74,84,73,47,20,7,70,58,45,13,58,37,42,100,9,48,99,86,41,23,
BCD,BCD00054,17,13,79,55,34,99,89,62,87,78,75,38,41,35,90,52,9,88,1,54,100,19,59,66,
BCD,BCD00055,40,75,10,50,27,80,83,3,1,48,53,92,44,52,74,3,67,40,57,30,88,13,85,45,
BCD,BCD00056,38,12,8,32,84,10,43,20,100,44,25,74,15,49,93,45,36,52,20,46,24,99,85,95,
BCD,BCD00057,50,84,13,38,45,5,95,75,81,8,19,42,85,73,5,100,71,82,57,0,36,59,83,65,
BCD,BCD00058,52,8,61,64,30,34,96,76,76,24,77,58,87,12,77,94,8,87,27,5,12,96,17,49,
BCD,BCD00059,81,87,55,90,93,3,60,59,61,73,3,28,32,97,39,48,15,48,33,81,94,48,91,57,
BCD,BCD00060,38,59,4,43,40,31,21,2,41,72,97,85,24,87,27,80,37,91,37,35,62,24,34,98,
BCD,BCD00061,87,39,58,9,19,52,31,10,79,50,24,56,59,81,69,70,57,55,54,24,33,96,71,31,
BCD,BCD00062,41,96,48,20,19,43,15,46,58,30,93,18,90,26,58,20,94,56,7,27,29,40,53,34,
BCD,BCD00063,78,77,42,24,32,87,100,80,47,71,76,81,47,22,82,62,72,32,18,17,54,78,67,89,
BCD,BCD00064,46,72,70,91,1,8,25,32,92,91,86,37,53,66,85,58,92,82,22,47,82,28,66,20,
BCD,BCD00065,21,89,45,51,42,55,100,71,4,72,56,38,80,94,68,10,87,60,15,1,49,85,10,12,
BCD,BCD00066,85,28,78,83,69,6,56,74,82,8,84,69,67,1,31,51,72,51,57,56,53,67,38,36,
BCD,BCD00067,91,32,46,80,86,84,57,10,23,74,85,53,39,92,22,20,89,80,23,23,97,31,22,63,
BCD,BCD00068,31,63,89,100,94,100,10,13,33,12,48,17,35,26,62,63,1,93,29,98,71,3,33,51,
BCD,BCD00069,73,7,70,4,6,20,86,40,26,62,23,15,58,2,59,46,10,33,36,41,38,10,85,75,
BCD,BCD00070,35,100,89,27,39,59,100,57,49,0,93,85,53,28,34,87,3,0,78,50,29,82,29,94,
BCD,BCD00071,56,79,3,58,35,13,54,99,29,100,25,17,65,5,61,96,2,76,21,27,84,5,51,11,
BCD,BCD00072,41,63,70,8,4,92,38,29,61,96,57,50,69,97,11,99,46,34,85,4,45,52,66,19,
BCD,BCD00073,49,61,37,20,88,51,23,75,8,67,84,25,59,57,91,76,32,48,55,83,97,12,69,40,
BCD,BCD00074,87,44,4,28,47,42,28,95,60,16,81,58,57,54,47,74,22,23,84,77,52,20,51,17,
BCD,BCD00075,13,43,56,64,43,79,21,44,32,71,70,48,8,89,92,82,69,0,57,93,98,28,99,73,
BCD,BCD00076,89,51,73,63,67,15,17,93,44,83,25,50,42,50,31,8,0,88,58,81,49,9,66,92,
BCD,BCD00077,45,15,75,5,62,86,2,73,9,96,49,29,50,70,89,75,15,95,13,41,32,35,21,80,
BCD,BCD00078,11,68,95,60,76,2,62,6,5,32,55,75,84,76,56,46,66,64,25,55,99,53,23,95,
